id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,source_measurement,output_cache_sha256,continuation_cache_sha256
J07_g0_c0_recipient/no_edit/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,no_edit,initial_recipient,262, the,Joseph,Susan,0,0,1,0.03667689619221005,0.006145197546508824,"{""Joseph"": -98.51913452148438, ""Susan"": -100.30561065673828, ""red"": -105.7380142211914, ""blue"": -107.75228118896484}","{""Joseph"": 0.03667689619221005, ""Susan"": 0.006145197546508824, ""red"": 2.6870327330254907e-05, ""blue"": 3.5849898283835974e-06}",J07_g0_c0_recipient/none,075c2aeabb0f1ecff0746077cb5d9acb086934ec4465ff6b5f643961c7a703eb,075c2aeabb0f1ecff0746077cb5d9acb086934ec4465ff6b5f643961c7a703eb
J07_g0_c0_recipient/internal/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,internal,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07756313742089914,0.0007962626574130805,"{""Joseph"": -95.90422058105469, ""Susan"": -100.48313903808594, ""red"": -103.72969818115234, ""blue"": -105.67984771728516}","{""Joseph"": 0.07756313742089914, ""Susan"": 0.0007962626574130805, ""red"": 3.098087132429021e-05, ""blue"": 4.407115632299785e-06}",J07_g0_c0_recipient/d6_internal,9ab99b10bf96edfd7955c7d13919b10a41db237269e8fa866cda981c8920a8f6,9ab99b10bf96edfd7955c7d13919b10a41db237269e8fa866cda981c8920a8f6
J07_g0_c0_recipient/task/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,task,initial_recipient,262, the,Joseph,Susan,0,0,1,0.012452645503238106,0.01900642393116577,"{""Joseph"": -96.73875427246094, ""Susan"": -96.31591033935547, ""red"": -102.92724609375, ""blue"": -104.94730377197266}","{""Joseph"": 0.012452645503238106, ""Susan"": 0.01900642393116577, ""red"": 2.556429236340771e-05, ""blue"": 3.391047497678706e-06}",J07_g0_c0_recipient/d6_task,5a38ff22c32e06e9e4f59513a05c47613cfa65d3246807a363138f8f5532828b,5a38ff22c32e06e9e4f59513a05c47613cfa65d3246807a363138f8f5532828b
J07_g0_c0_recipient/yoked/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,yoked,initial_recipient,262, the,Joseph,Susan,0,0,1,0.006685982737821736,0.030876541680184725,"{""Joseph"": -94.42636108398438, ""Susan"": -92.89637756347656, ""red"": -100.17808532714844, ""blue"": -102.14661407470703}","{""Joseph"": 0.006685982737821736, ""Susan"": 0.030876541680184725, ""red"": 2.124335715381819e-05, ""blue"": 2.9668936441716713e-06}",J07_g0_c0_recipient/d6_yoked,0d032add265fc589709de71ba787b42f499cd40f4596fa0d33b104037c6b0ae6,0d032add265fc589709de71ba787b42f499cd40f4596fa0d33b104037c6b0ae6
J07_g0_c0_recipient/supervised_ridge/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,supervised_ridge,initial_recipient,262, the,Joseph,Susan,0,0,1,0.04882038672639337,0.006605155232845243,"{""Joseph"": -98.07421112060547, ""Susan"": -100.07450866699219, ""red"": -105.7691650390625, ""blue"": -107.68768310546875}","{""Joseph"": 0.04882038672639337, ""Susan"": 0.006605155232845243, ""red"": 2.2219034844638868e-05, ""blue"": 3.2622961258228047e-06}",J07_g0_c0_recipient/d6_ridge,2449c39c906d4f8a6d466b29c16a48f6a88eb808742fe74a724663941b1148f7,2449c39c906d4f8a6d466b29c16a48f6a88eb808742fe74a724663941b1148f7
J07_g0_c0_recipient/reflection/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,reflection,initial_recipient,262, the,Joseph,Susan,0,0,1,0.05109014813520669,0.006729697673484272,"{""Joseph"": -97.80277252197266, ""Susan"": -99.829833984375, ""red"": -105.54560089111328, ""blue"": -107.4894027709961}","{""Joseph"": 0.05109014813520669, ""Susan"": 0.006729697673484272, ""red"": 2.216509141924646e-05, ""blue"": 3.173124384644879e-06}",J07_g0_c0_recipient/reflection,1e34728d25e3c4a42a5937ddcfe1f5e2d5c50b365bd30f80c5a3e8f514c4c081,1e34728d25e3c4a42a5937ddcfe1f5e2d5c50b365bd30f80c5a3e8f514c4c081
J07_g0_c0_recipient/residual_donor/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,residual_donor,initial_recipient,262, the,Joseph,Susan,0,0,1,0.032926047090591964,0.001137428798325884,"{""Joseph"": -104.64453887939453, ""Susan"": -108.0100326538086, ""red"": -111.56257629394531, ""blue"": -113.60121154785156}","{""Joseph"": 0.032926047090591964, ""Susan"": 0.001137428798325884, ""red"": 3.25892315694961e-05, ""blue"": 4.243322877957237e-06}",J07_g0_c0_recipient/donor,81e9a43b9e4aa779d06e0476b9e917668f3e0e49172171013c77e5d415d1d201,81e9a43b9e4aa779d06e0476b9e917668f3e0e49172171013c77e5d415d1d201
J07_g0_c0_recipient/prefix_donor/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,prefix_donor,initial_recipient,262, the,Joseph,Susan,0,0,1,0.028303999510791173,0.0019504668085492769,"{""Joseph"": -105.91700744628906, ""Susan"": -108.5919418334961, ""red"": -112.68755340576172, ""blue"": -114.7286605834961}","{""Joseph"": 0.028303999510791173, ""Susan"": 0.0019504668085492769, ""red"": 3.246661854014297e-05, ""blue"": 4.216921088624681e-06}",J07_g1_c0_recipient/none,8267087cc902e47038e39fd3fb62cdcf1366c444ef8ad3ca1b937d37864004c6,8267087cc902e47038e39fd3fb62cdcf1366c444ef8ad3ca1b937d37864004c6
J07_g0_c0_recipient/internal_restore_upper/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,internal_restore_upper,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07756313742089914,0.0007962626574130805,"{""Joseph"": -95.90422058105469, ""Susan"": -100.48313903808594, ""red"": -103.72969818115234, ""blue"": -105.67984771728516}","{""Joseph"": 0.07756313742089914, ""Susan"": 0.0007962626574130805, ""red"": 3.098087132429021e-05, ""blue"": 4.407115632299785e-06}",J07_g0_c0_recipient/d6_internal,9ab99b10bf96edfd7955c7d13919b10a41db237269e8fa866cda981c8920a8f6,075c2aeabb0f1ecff0746077cb5d9acb086934ec4465ff6b5f643961c7a703eb
J07_g0_c0_recipient/internal_restore_lower/initial_recipient,J07_g0_c0_recipient,J07,red,Joseph,internal_restore_lower,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07756313742089914,0.0007962626574130805,"{""Joseph"": -95.90422058105469, ""Susan"": -100.48313903808594, ""red"": -103.72969818115234, ""blue"": -105.67984771728516}","{""Joseph"": 0.07756313742089914, ""Susan"": 0.0007962626574130805, ""red"": 3.098087132429021e-05, ""blue"": 4.407115632299785e-06}",J07_g0_c0_recipient/d6_internal,9ab99b10bf96edfd7955c7d13919b10a41db237269e8fa866cda981c8920a8f6,9ab99b10bf96edfd7955c7d13919b10a41db237269e8fa866cda981c8920a8f6
J07_g0_c1_recipient/no_edit/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,no_edit,initial_recipient,262, the,Joseph,Susan,0,0,1,0.04392506473499515,0.005198885498032327,"{""Joseph"": -103.55138397216797, ""Susan"": -105.6854248046875, ""red"": -111.17398071289062, ""blue"": -112.89803314208984}","{""Joseph"": 0.04392506473499515, ""Susan"": 0.005198885498032327, ""red"": 2.1491202086206e-05, ""blue"": 3.832783175223689e-06}",J07_g0_c1_recipient/none,db671bb233ab9dcff493d9c8f29b3ec5069e301a01cf97b8b13de9596f20de47,db671bb233ab9dcff493d9c8f29b3ec5069e301a01cf97b8b13de9596f20de47
J07_g0_c1_recipient/internal/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,internal,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07333242532476261,0.000702261186848218,"{""Joseph"": -100.18201446533203, ""Susan"": -104.8304672241211, ""red"": -108.14148712158203, ""blue"": -109.767333984375}","{""Joseph"": 0.07333242532476261, ""Susan"": 0.000702261186848218, ""red"": 2.561775071234558e-05, ""blue"": 5.040164072453844e-06}",J07_g0_c1_recipient/d6_internal,d838997e1bf67d705203c773192aa0333f023babc4a6110cad066687e851fa9b,d838997e1bf67d705203c773192aa0333f023babc4a6110cad066687e851fa9b
J07_g0_c1_recipient/task/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,task,initial_recipient,262, the,Joseph,Susan,0,0,1,0.013223019683764147,0.01895599146421814,"{""Joseph"": -101.3305892944336, ""Susan"": -100.97042846679688, ""red"": -107.84814453125, ""blue"": -109.54296875}","{""Joseph"": 0.013223019683764147, ""Susan"": 0.01895599146421814, ""red"": 1.953405335357037e-05, ""blue"": 3.587067619316545e-06}",J07_g0_c1_recipient/d6_task,3feccd4f7b1703dcbaedce1bc667102ff3939b43b13d85dc1c4f47564bf73c56,3feccd4f7b1703dcbaedce1bc667102ff3939b43b13d85dc1c4f47564bf73c56
J07_g0_c1_recipient/yoked/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,yoked,initial_recipient,262, the,Joseph,Susan,0,0,1,0.0064853844697756674,0.03155268366182667,"{""Joseph"": -98.41267395019531, ""Susan"": -96.83056640625, ""red"": -104.47212982177734, ""blue"": -106.06035614013672}","{""Joseph"": 0.0064853844697756674, ""Susan"": 0.03155268366182667, ""red"": 1.5147727329088796e-05, ""blue"": 3.094493343318785e-06}",J07_g0_c1_recipient/d6_yoked,85da2d34a46931b1a6320c24cd556afe78e6582c628afe13e12e8bd17899c1b7,85da2d34a46931b1a6320c24cd556afe78e6582c628afe13e12e8bd17899c1b7
J07_g0_c1_recipient/supervised_ridge/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,supervised_ridge,initial_recipient,262, the,Joseph,Susan,0,0,1,0.044620878948566825,0.007556433163137668,"{""Joseph"": -101.58253479003906, ""Susan"": -103.35833740234375, ""red"": -109.37442779541016, ""blue"": -111.04723358154297}","{""Joseph"": 0.044620878948566825, ""Susan"": 0.007556433163137668, ""red"": 1.843155535993256e-05, ""blue"": 3.4599646588842006e-06}",J07_g0_c1_recipient/d6_ridge,cefcc3713579d064f658b1147684e4030f30a9c6efdd3882d86a70531346fc6b,cefcc3713579d064f658b1147684e4030f30a9c6efdd3882d86a70531346fc6b
J07_g0_c1_recipient/reflection/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,reflection,initial_recipient,262, the,Joseph,Susan,0,0,1,0.04540828381006324,0.007365400956015104,"{""Joseph"": -101.40924835205078, ""Susan"": -103.2281494140625, ""red"": -109.26842498779297, ""blue"": -110.9715347290039}","{""Joseph"": 0.04540828381006324, ""Susan"": 0.007365400956015104, ""red"": 1.753630308877687e-05, ""blue"": 3.1936467740435657e-06}",J07_g0_c1_recipient/reflection,1636179bd7b2a69cb7d28238a83bfb0d17fd27fc3b67af68bb13ef731ffa4645,1636179bd7b2a69cb7d28238a83bfb0d17fd27fc3b67af68bb13ef731ffa4645
J07_g0_c1_recipient/residual_donor/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,residual_donor,initial_recipient,262, the,Joseph,Susan,0,0,1,0.0398317909461293,0.0011273662634046773,"{""Joseph"": -107.54988861083984, ""Susan"": -111.11466979980469, ""red"": -114.69175720214844, ""blue"": -116.45301818847656}","{""Joseph"": 0.0398317909461293, ""Susan"": 0.0011273662634046773, ""red"": 3.1517786857401735e-05, ""blue"": 5.4156399924186855e-06}",J07_g0_c1_recipient/donor,2ec2a979e5f0dbd37b7c07826ea55eb5490236351b89ad6a34799861745b899a,2ec2a979e5f0dbd37b7c07826ea55eb5490236351b89ad6a34799861745b899a
J07_g0_c1_recipient/prefix_donor/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,prefix_donor,initial_recipient,262, the,Joseph,Susan,0,0,1,0.03383329277963057,0.0019514309538124115,"{""Joseph"": -108.33113098144531, ""Susan"": -111.18401336669922, ""red"": -115.38021850585938, ""blue"": -117.06732177734375}","{""Joseph"": 0.03383329277963057, ""Susan"": 0.0019514309538124115, ""red"": 2.9374092129281204e-05, ""blue"": 5.435816798885807e-06}",J07_g1_c1_recipient/none,9bde2a57e563420bc400e84a527dff93314943a9b54159258a5152eec30834ab,9bde2a57e563420bc400e84a527dff93314943a9b54159258a5152eec30834ab
J07_g0_c1_recipient/internal_restore_upper/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,internal_restore_upper,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07333242532476261,0.000702261186848218,"{""Joseph"": -100.18201446533203, ""Susan"": -104.8304672241211, ""red"": -108.14148712158203, ""blue"": -109.767333984375}","{""Joseph"": 0.07333242532476261, ""Susan"": 0.000702261186848218, ""red"": 2.561775071234558e-05, ""blue"": 5.040164072453844e-06}",J07_g0_c1_recipient/d6_internal,d838997e1bf67d705203c773192aa0333f023babc4a6110cad066687e851fa9b,db671bb233ab9dcff493d9c8f29b3ec5069e301a01cf97b8b13de9596f20de47
J07_g0_c1_recipient/internal_restore_lower/initial_recipient,J07_g0_c1_recipient,J07,blue,Joseph,internal_restore_lower,initial_recipient,262, the,Joseph,Susan,0,0,1,0.07333242532476261,0.000702261186848218,"{""Joseph"": -100.18201446533203, ""Susan"": -104.8304672241211, ""red"": -108.14148712158203, ""blue"": -109.767333984375}","{""Joseph"": 0.07333242532476261, ""Susan"": 0.000702261186848218, ""red"": 2.561775071234558e-05, ""blue"": 5.040164072453844e-06}",J07_g0_c1_recipient/d6_internal,d838997e1bf67d705203c773192aa0333f023babc4a6110cad066687e851fa9b,d838997e1bf67d705203c773192aa0333f023babc4a6110cad066687e851fa9b
J07_g1_c0_recipient/no_edit/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,no_edit,initial_recipient,262, the,Susan,Joseph,0,0,1,0.0019504668085492769,0.028303999510791173,"{""Joseph"": -105.91700744628906, ""Susan"": -108.5919418334961, ""red"": -112.68755340576172, ""blue"": -114.7286605834961}","{""Joseph"": 0.028303999510791173, ""Susan"": 0.0019504668085492769, ""red"": 3.246661854014297e-05, ""blue"": 4.216921088624681e-06}",J07_g1_c0_recipient/none,8267087cc902e47038e39fd3fb62cdcf1366c444ef8ad3ca1b937d37864004c6,8267087cc902e47038e39fd3fb62cdcf1366c444ef8ad3ca1b937d37864004c6
J07_g1_c0_recipient/internal/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,internal,initial_recipient,262, the,Susan,Joseph,0,0,1,0.0006352270734082417,0.07230271290279042,"{""Joseph"": -102.08206176757812, ""Susan"": -106.81669616699219, ""red"": -109.71590423583984, ""blue"": -111.6209487915039}","{""Joseph"": 0.07230271290279042, ""Susan"": 0.0006352270734082417, ""red"": 3.497992977600256e-05, ""blue"": 5.205573645043866e-06}",J07_g1_c0_recipient/d6_internal,919d6387696d858c18622f1314c9f05fccaab833556376ea998bef82252aac42,919d6387696d858c18622f1314c9f05fccaab833556376ea998bef82252aac42
J07_g1_c0_recipient/task/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,task,initial_recipient,262, the,Susan,Joseph,0,0,1,0.00518814661918453,0.0035429787774244235,"{""Joseph"": -103.28760528564453, ""Susan"": -102.90619659423828, ""red"": -108.17066955566406, ""blue"": -110.23097229003906}","{""Joseph"": 0.0035429787774244235, ""Susan"": 0.00518814661918453, ""red"": 2.6833707635989416e-05, ""blue"": 3.4190273514059863e-06}",J07_g1_c0_recipient/d6_task,975756b16183dabfbe1a7e8e5a229d68a1ac92795cbba9a858cc3adb4a7ae440,975756b16183dabfbe1a7e8e5a229d68a1ac92795cbba9a858cc3adb4a7ae440
J07_g1_c0_recipient/yoked/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,yoked,initial_recipient,607, her,Susan,Joseph,0,0,1,0.009731495572196125,0.00126686025962732,"{""Joseph"": -98.3887710571289, ""Susan"": -96.34994506835938, ""red"": -102.62977600097656, ""blue"": -104.50702667236328}","{""Joseph"": 0.00126686025962732, ""Susan"": 0.009731495572196125, ""red"": 1.823407211389075e-05, ""blue"": 2.7899990816668723e-06}",J07_g1_c0_recipient/d6_yoked,ea62d24df00385a8379124a92811f5da7fde2f0f6e16d291a8e67cdbb0934111,ea62d24df00385a8379124a92811f5da7fde2f0f6e16d291a8e67cdbb0934111
J07_g1_c0_recipient/supervised_ridge/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,supervised_ridge,initial_recipient,262, the,Susan,Joseph,0,0,1,0.006567331529799344,0.013765304095410194,"{""Joseph"": -103.6355972290039, ""Susan"": -104.37564086914062, ""red"": -110.08303833007812, ""blue"": -112.07689666748047}","{""Joseph"": 0.013765304095410194, ""Susan"": 0.006567331529799344, ""red"": 2.1812111920368105e-05, ""blue"": 2.9701340033970043e-06}",J07_g1_c0_recipient/d6_ridge,06335c56de3041ca7a4605551bbc116bd31bcabdfc1cd861d712d27fc91205c4,06335c56de3041ca7a4605551bbc116bd31bcabdfc1cd861d712d27fc91205c4
J07_g1_c0_recipient/reflection/initial_recipient,J07_g1_c0_recipient,J07,red,Susan,reflection,initial_recipient,262, the,Susan,Joseph,0,0,1,0.007354671646222632,0.015097715985101031,"{""Joseph"": -104.24940490722656, ""Susan"": -104.96861267089844, ""red"": -110.79029846191406, ""blue"": -112.74644470214844}","{""Joseph"": 0.015097715985101031, ""Susan"": 0.007354671646222632, ""red"": 2.1788998738802735e-05, ""blue"": 3.0810145964598354e-06}",J07_g1_c0_recipient/reflection,cdc99b514d0f363f362f45779e618cac8244e6b93b5d82e0e65176d61484c55d,cdc99b514d0f363f362f45779e618cac8244e6b93b5d82e0e65176d61484c55d
